ignore,id,doc,toc,variable,value
1,12033,1,8,1986,26
2,12033,1,7,1986,5
3,12033,1,1,1986,357
4,12033,1,6,1986,200
5,12033,1,2,1986,2
6,12033,1,3,1986,844
7,12033,1,9,1986,736
8,12033,1,4,1986,17
9,12033,1,5,1986,401
10,12091,1,8,1986,1
11,12091,1,7,1986,1
12,12091,1,1,1986,26
13,12091,1,6,1986,41
14,12091,1,2,1986,8
15,12091,1,3,1986,332
16,12091,1,9,1986,306
17,12091,1,4,1986,4
18,12091,1,5,1986,427
19,12113,1,8,1986,2
20,12113,1,7,1986,5
21,12113,1,1,1986,32
22,12113,1,6,1986,33
23,12113,1,2,1986,1
24,12113,1,3,1986,141
25,12113,1,9,1986,280
26,12113,1,4,1986,7
27,12113,1,5,1986,67
28,12131,1,8,1986,0
29,12131,1,7,1986,0
30,12131,1,1,1986,20
31,12131,1,6,1986,9
32,12131,1,2,1986,0
33,12131,1,3,1986,52
34,12131,1,9,1986,159
35,12131,1,4,1986,0
36,12131,1,5,1986,145
37,12037,1,8,1986,0
38,12037,1,7,1986,0
39,12037,1,1,1986,1
40,12037,1,6,1986,4
41,12037,1,2,1986,0
42,12037,1,3,1986,21
43,12037,1,9,1986,39
44,12037,1,4,1986,1
45,12037,1,5,1986,11
46,12039,1,8,1986,6
47,12039,1,7,1986,2
48,12039,1,1,1986,21
49,12039,1,6,1986,27
50,12039,1,2,1986,0
51,12039,1,3,1986,84
52,12039,1,9,1986,105
53,12039,1,4,1986,2
54,12039,1,5,1986,50
55,12065,1,8,1986,1
56,12065,1,7,1986,1
57,12065,1,1,1986,3
58,12065,1,6,1986,0
59,12065,1,2,1986,0
60,12065,1,3,1986,28
61,12065,1,9,1986,28
62,12065,1,4,1986,0
63,12065,1,5,1986,22
64,12073,1,8,1986,4
65,12073,1,7,1986,2
66,12073,1,1,1986,45
67,12073,1,6,1986,69
68,12073,1,2,1986,0
69,12073,1,3,1986,336
70,12073,1,9,1986,307
71,12073,1,4,1986,1
72,12073,1,5,1986,490
73,12077,1,8,1986,0
74,12077,1,7,1986,0
75,12077,1,1,1986,2
76,12077,1,6,1986,2
77,12077,1,2,1986,0
78,12077,1,3,1986,7
79,12077,1,9,1986,4
80,12077,1,4,1986,0
81,12077,1,5,1986,6
82,12129,1,8,1986,1
83,12129,1,7,1986,0
84,12129,1,1,1986,4
85,12129,1,6,1986,63
86,12129,1,2,1986,1
87,12129,1,3,1986,47
88,12129,1,9,1986,105
89,12129,1,4,1986,1
90,12129,1,5,1986,31
91,12023,1,8,1986,0
92,12023,1,7,1986,0
93,12023,1,1,1986,23
94,12023,1,6,1986,36
