ignore,id,doc,toc,year,filcount,discount
1,12033,1,8,1986,16,26
2,12033,1,7,1986,16,5
3,12033,1,1,1986,423,357
4,12033,1,6,1986,270,200
5,12033,1,2,1986,1,2
6,12033,1,3,1986,947,844
7,12033,1,9,1986,902,736
8,12033,1,4,1986,0,17
9,12033,1,5,1986,394,401
10,12091,1,8,1986,11,1
11,12091,1,7,1986,7,1
12,12091,1,1,1986,75,26
13,12091,1,6,1986,49,41
14,12091,1,2,1986,7,8
15,12091,1,3,1986,376,332
16,12091,1,9,1986,476,306
17,12091,1,4,1986,7,4
18,12091,1,5,1986,288,427
19,12113,1,8,1986,2,2
20,12113,1,7,1986,6,5
21,12113,1,1,1986,43,32
22,12113,1,6,1986,29,33
23,12113,1,2,1986,0,1
24,12113,1,3,1986,145,141
25,12113,1,9,1986,310,280
26,12113,1,4,1986,6,7
27,12113,1,5,1986,71,67
28,12131,1,8,1986,1,0
29,12131,1,7,1986,0,0
30,12131,1,1,1986,17,20
31,12131,1,6,1986,7,9
32,12131,1,2,1986,0,0
33,12131,1,3,1986,86,52
34,12131,1,9,1986,218,159
35,12131,1,4,1986,0,0
36,12131,1,5,1986,93,145
37,12037,1,8,1986,0,0
38,12037,1,7,1986,0,0
39,12037,1,1,1986,2,1
40,12037,1,6,1986,2,4
41,12037,1,2,1986,0,0
42,12037,1,3,1986,31,21
43,12037,1,9,1986,48,39
44,12037,1,4,1986,0,1
45,12037,1,5,1986,20,11
46,12039,1,8,1986,0,6
47,12039,1,7,1986,4,2
48,12039,1,1,1986,11,21
49,12039,1,6,1986,12,27
50,12039,1,2,1986,0,0
51,12039,1,3,1986,28,84
52,12039,1,9,1986,60,105
53,12039,1,4,1986,0,2
54,12039,1,5,1986,111,50
55,12065,1,8,1986,0,1
56,12065,1,7,1986,0,1
57,12065,1,1,1986,5,3
58,12065,1,6,1986,5,0
59,12065,1,2,1986,0,0
60,12065,1,3,1986,23,28
61,12065,1,9,1986,26,28
62,12065,1,4,1986,0,0
63,12065,1,5,1986,15,22
64,12073,1,8,1986,21,4
65,12073,1,7,1986,4,2
66,12073,1,1,1986,118,45
67,12073,1,6,1986,130,69
68,12073,1,2,1986,0,0
69,12073,1,3,1986,728,336
70,12073,1,9,1986,447,307
71,12073,1,4,1986,2,1
72,12073,1,5,1986,572,490
73,12077,1,8,1986,0,0
74,12077,1,7,1986,0,0
75,12077,1,1,1986,1,2
76,12077,1,6,1986,0,2
77,12077,1,2,1986,0,0
78,12077,1,3,1986,6,7
79,12077,1,9,1986,7,4
80,12077,1,4,1986,0,0
81,12077,1,5,1986,9,6
82,12129,1,8,1986,0,1
83,12129,1,7,1986,2,0
84,12129,1,1,1986,3,4
85,12129,1,6,1986,6,63
86,12129,1,2,1986,0,1
87,12129,1,3,1986,20,47
88,12129,1,9,1986,49,105
89,12129,1,4,1986,2,1
90,12129,1,5,1986,10,31
91,12023,1,8,1986,0,0
92,12023,1,7,1986,0,0
93,12023,1,1,1986,37,23
94,12023,1,6,1986,15,36
95,12023,1,2,1986,0,0
96,12023,1,3,1986,77,89
97,12023,1,9,1986,86,99
98,12023,1,4,1986,0,0
99,12023,1,5,1986,98,77
100,12029,1,8,1986,0,0
101,12029,1,7,1986,0,0
102,12029,1,1,1986,3,4
103,12029,1,6,1986,4,4
104,12029,1,2,1986,0,0
105,12029,1,3,1986,8,14
106,12029,1,9,1986,12,14
107,12029,1,4,1986,1,0
108,12029,1,5,1986,19,13
109,12047,1,8,1986,0,0
110,12047,1,7,1986,0,0
111,12047,1,1,1986,3,4
112,12047,1,6,1986,1,0
113,12047,1,2,1986,0,0
114,12047,1,3,1986,5,10
115,12047,1,9,1986,12,8
116,12047,1,4,1986,0,0
117,12047,1,5,1986,26,42
118,12067,1,8,1986,0,0
119,12067,1,7,1986,2,2
120,12067,1,1,1986,2,0
121,12067,1,6,1986,3,3
122,12067,1,2,1986,0,0
123,12067,1,3,1986,5,7
124,12067,1,9,1986,15,13
125,12067,1,4,1986,0,0
126,12067,1,5,1986,9,7
127,12079,1,8,1986,1,0
128,12079,1,7,1986,0,0
129,12079,1,1,1986,8,3
130,12079,1,6,1986,13,1
131,12079,1,2,1986,0,0
132,12079,1,3,1986,19,19
133,12079,1,9,1986,30,19
134,12079,1,4,1986,1,4
135,12079,1,5,1986,18,17
136,12121,1,8,1986,0,1
137,12121,1,7,1986,4,4
138,12121,1,1,1986,17,14
139,12121,1,6,1986,7,9
140,12121,1,2,1986,0,0
141,12121,1,3,1986,53,52
142,12121,1,9,1986,70,107
143,12121,1,4,1986,1,7
144,12121,1,5,1986,36,63
145,12123,1,8,1986,0,0
146,12123,1,7,1986,2,0
147,12123,1,1,1986,16,6
148,12123,1,6,1986,4,3
149,12123,1,2,1986,0,0
150,12123,1,3,1986,17,14
151,12123,1,9,1986,36,32
152,12123,1,4,1986,1,0
153,12123,1,5,1986,50,38
154,12019,1,8,1986,2,3
155,12019,1,7,1986,2,1
156,12019,1,1,1986,37,23
157,12019,1,6,1986,32,21
158,12019,1,2,1986,1,0
159,12019,1,3,1986,114,88
160,12019,1,9,1986,216,197
161,12019,1,4,1986,1,2
162,12019,1,5,1986,74,90
163,12031,1,8,1986,65,40
164,12031,1,7,1986,28,1
165,12031,1,1,1986,728,915
166,12031,1,6,1986,689,1017
167,12031,1,2,1986,5,2
168,12031,1,3,1986,2074,2634
169,12031,1,9,1986,1349,2328
170,12031,1,4,1986,35,39
171,12031,1,5,1986,1042,1824
172,12089,1,8,1986,0,0
173,12089,1,7,1986,0,0
174,12089,1,1,1986,14,2
175,12089,1,6,1986,24,6
176,12089,1,2,1986,2,0
177,12089,1,3,1986,60,47
