ignore,id,doc,toc,variable,value
1,12033,1,8,1986,16
2,12033,1,7,1986,16
3,12033,1,1,1986,423
4,12033,1,6,1986,270
5,12033,1,2,1986,1
6,12033,1,3,1986,947
7,12033,1,9,1986,902
8,12033,1,4,1986,0
9,12033,1,5,1986,394
10,12091,1,8,1986,11
11,12091,1,7,1986,7
12,12091,1,1,1986,75
13,12091,1,6,1986,49
14,12091,1,2,1986,7
15,12091,1,3,1986,376
16,12091,1,9,1986,476
17,12091,1,4,1986,7
18,12091,1,5,1986,288
19,12113,1,8,1986,2
20,12113,1,7,1986,6
21,12113,1,1,1986,43
22,12113,1,6,1986,29
23,12113,1,2,1986,0
24,12113,1,3,1986,145
25,12113,1,9,1986,310
26,12113,1,4,1986,6
27,12113,1,5,1986,71
28,12131,1,8,1986,1
29,12131,1,7,1986,0
30,12131,1,1,1986,17
31,12131,1,6,1986,7
32,12131,1,2,1986,0
33,12131,1,3,1986,86
34,12131,1,9,1986,218
35,12131,1,4,1986,0
36,12131,1,5,1986,93
37,12037,1,8,1986,0
38,12037,1,7,1986,0
39,12037,1,1,1986,2
40,12037,1,6,1986,2
41,12037,1,2,1986,0
42,12037,1,3,1986,31
43,12037,1,9,1986,48
44,12037,1,4,1986,0
45,12037,1,5,1986,20
46,12039,1,8,1986,0
47,12039,1,7,1986,4
48,12039,1,1,1986,11
49,12039,1,6,1986,12
50,12039,1,2,1986,0
51,12039,1,3,1986,28
52,12039,1,9,1986,60
53,12039,1,4,1986,0
54,12039,1,5,1986,111
55,12065,1,8,1986,0
56,12065,1,7,1986,0
57,12065,1,1,1986,5
58,12065,1,6,1986,5
59,12065,1,2,1986,0
60,12065,1,3,1986,23
61,12065,1,9,1986,26
62,12065,1,4,1986,0
63,12065,1,5,1986,15
64,12073,1,8,1986,21
65,12073,1,7,1986,4
66,12073,1,1,1986,118
67,12073,1,6,1986,130
68,12073,1,2,1986,0
69,12073,1,3,1986,728
70,12073,1,9,1986,447
71,12073,1,4,1986,2
72,12073,1,5,1986,572
73,12077,1,8,1986,0
74,12077,1,7,1986,0
75,12077,1,1,1986,1
76,12077,1,6,1986,0
77,12077,1,2,1986,0
78,12077,1,3,1986,6
79,12077,1,9,1986,7
80,12077,1,4,1986,0
81,12077,1,5,1986,9
82,12129,1,8,1986,0
83,12129,1,7,1986,2
84,12129,1,1,1986,3
85,12129,1,6,1986,6
86,12129,1,2,1986,0
87,12129,1,3,1986,20
88,12129,1,9,1986,49
89,12129,1,4,1986,2
90,12129,1,5,1986,10
91,12023,1,8,1986,0
92,12023,1,7,1986,0
93,12023,1,1,1986,37
94,12023,1,6,1986,15
95,12023,1,2,1986,0
96,12023,1,3,1986,77
97,12023,1,9,1986,86
98,12023,1,4,1986,0
99,12023,1,5,1986,98
100,12029,1,8,1986,0
101,12029,1,7,1986,0
102,12029,1,1,1986,3
103,12029,1,6,1986,4
104,12029,1,2,1986,0
105,12029,1,3,1986,8
106,12029,1,9,1986,12
107,12029,1,4,1986,1
108,12029,1,5,1986,19
109,12047,1,8,1986,0
110,12047,1,7,1986,0
111,12047,1,1,1986,3
112,12047,1,6,1986,1
113,12047,1,2,1986,0
114,12047,1,3,1986,5
115,12047,1,9,1986,12
116,12047,1,4,1986,0
117,12047,1,5,1986,26
118,12067,1,8,1986,0
119,12067,1,7,1986,2
120,12067,1,1,1986,2
121,12067,1,6,1986,3
122,12067,1,2,1986,0
123,12067,1,3,1986,5
124,12067,1,9,1986,15
125,12067,1,4,1986,0
126,12067,1,5,1986,9
127,12079,1,8,1986,1
128,12079,1,7,1986,0
129,12079,1,1,1986,8
130,12079,1,6,1986,13
131,12079,1,2,1986,0
132,12079,1,3,1986,19
133,12079,1,9,1986,30
134,12079,1,4,1986,1
135,12079,1,5,1986,18
136,12121,1,8,1986,0
137,12121,1,7,1986,4
138,12121,1,1,1986,17
139,12121,1,6,1986,7
140,12121,1,2,1986,0
141,12121,1,3,1986,53
142,12121,1,9,1986,70
143,12121,1,4,1986,1
144,12121,1,5,1986,36
145,12123,1,8,1986,0
146,12123,1,7,1986,2
147,12123,1,1,1986,16
148,12123,1,6,1986,4
149,12123,1,2,1986,0
150,12123,1,3,1986,17
151,12123,1,9,1986,36
152,12123,1,4,1986,1
153,12123,1,5,1986,50
154,12019,1,8,1986,2
155,12019,1,7,1986,2
156,12019,1,1,1986,37
157,12019,1,6,1986,32
158,12019,1,2,1986,1
159,12019,1,3,1986,114
160,12019,1,9,1986,216
161,12019,1,4,1986,1
162,12019,1,5,1986,74
163,12031,1,8,1986,65
164,12031,1,7,1986,28
165,12031,1,1,1986,728
166,12031,1,6,1986,689
167,12031,1,2,1986,5
168,12031,1,3,1986,2074
169,12031,1,9,1986,1349
170,12031,1,4,1986,35
171,12031,1,5,1986,1042
172,12089,1,8,1986,0
173,12089,1,7,1986,0
174,12089,1,1,1986,14
175,12089,1,6,1986,24
176,12089,1,2,1986,2
177,12089,1,3,1986,60
178,12089,1,9,1986,108
179,12089,1,4,1986,0
180,12089,1,5,1986,68
181,12017,1,8,1986,4
182,12017,1,7,1986,1
183,12017,1,1,1986,39
184,12017,1,6,1986,20
185,12017,1,2,1986,1
186,12017,1,3,1986,120
187,12017,1,9,1986,292
188,12017,1,4,1986,19
189,12017,1,5,1986,97
190,12053,1,8,1986,3
191,12053,1,7,1986,0
192,12053,1,1,1986,81
193,12053,1,6,1986,19
194,12053,1,2,1986,0
195,12053,1,3,1986,115
196,12053,1,9,1986,191
197,12053,1,4,1986,0
198,12053,1,5,1986,288
199,12069,1,8,1986,4
200,12069,1,7,1986,9
201,12069,1,1,1986,103
202,12069,1,6,1986,31
203,12069,1,2,1986,1
204,12069,1,3,1986,304
205,12069,1,9,1986,283
206,12069,1,4,1986,24
207,12069,1,5,1986,148
208,12083,1,8,1986,3
209,12083,1,7,1986,7
210,12083,1,1,1986,161
211,12083,1,6,1986,76
212,12083,1,2,1986,0
213,12083,1,3,1986,620
214,12083,1,9,1986,554
215,12083,1,4,1986,105
216,12083,1,5,1986,365
217,12119,1,8,1986,0
218,12119,1,7,1986,3
219,12119,1,1,1986,12
220,12119,1,6,1986,7
221,12119,1,2,1986,0
222,12119,1,3,1986,38
223,12119,1,9,1986,51
224,12119,1,4,1986,0
225,12119,1,5,1986,27
226,12101,1,8,1986,18
227,12101,1,7,1986,8
228,12101,1,1,1986,233
229,12101,1,6,1986,169
230,12101,1,2,1986,3
231,12101,1,3,1986,413
232,12101,1,9,1986,768
233,12101,1,4,1986,49
234,12101,1,5,1986,381
235,12103,1,8,1986,93
236,12103,1,7,1986,67
237,12103,1,1,1986,1221
238,12103,1,6,1986,653
239,12103,1,2,1986,25
240,12103,1,3,1986,3162
241,12103,1,9,1986,3010
242,12103,1,4,1986,156
243,12103,1,5,1986,1749
244,12035,1,8,1986,0
245,12035,1,7,1986,2
246,12035,1,1,1986,14
247,12035,1,6,1986,13
248,12035,1,2,1986,0
249,12035,1,3,1986,38
250,12035,1,9,1986,49
251,12035,1,4,1986,0
252,12035,1,5,1986,63
253,12107,1,8,1986,3
254,12107,1,7,1986,0
255,12107,1,1,1986,41
256,12107,1,6,1986,16
257,12107,1,2,1986,2
258,12107,1,3,1986,121
259,12107,1,9,1986,181
260,12107,1,4,1986,4
261,12107,1,5,1986,35
262,12109,1,8,1986,1
263,12109,1,7,1986,2
264,12109,1,1,1986,47
265,12109,1,6,1986,38
266,12109,1,2,1986,4
267,12109,1,3,1986,113
268,12109,1,9,1986,169
269,12109,1,4,1986,0
270,12109,1,5,1986,197
271,12127,1,8,1986,19
272,12127,1,7,1986,16
273,12127,1,1,1986,669
274,12127,1,6,1986,277
275,12127,1,2,1986,3
276,12127,1,3,1986,1074
277,12127,1,9,1986,943
278,12127,1,4,1986,9
279,12127,1,5,1986,610
280,12001,1,8,1986,21
281,12001,1,7,1986,16
282,12001,1,1,1986,133
283,12001,1,6,1986,80
284,12001,1,2,1986,0
285,12001,1,3,1986,548
286,12001,1,9,1986,456
287,12001,1,4,1986,5
288,12001,1,5,1986,207
289,12003,1,8,1986,0
290,12003,1,7,1986,0
291,12003,1,1,1986,7
292,12003,1,6,1986,0
293,12003,1,2,1986,1
294,12003,1,3,1986,6
295,12003,1,9,1986,36
296,12003,1,4,1986,2
297,12003,1,5,1986,68
298,12007,1,8,1986,0
299,12007,1,7,1986,0
300,12007,1,1,1986,14
301,12007,1,6,1986,24
302,12007,1,2,1986,0
303,12007,1,3,1986,17
304,12007,1,9,1986,31
305,12007,1,4,1986,0
306,12007,1,5,1986,156
307,12041,1,8,1986,0
308,12041,1,7,1986,1
309,12041,1,1,1986,0
310,12041,1,6,1986,5
311,12041,1,2,1986,0
312,12041,1,3,1986,6
313,12041,1,9,1986,46
314,12041,1,4,1986,0
315,12041,1,5,1986,7
316,12075,1,8,1986,0
317,12075,1,7,1986,1
318,12075,1,1,1986,5
319,12075,1,6,1986,6
320,12075,1,2,1986,0
321,12075,1,3,1986,40
322,12075,1,9,1986,78
323,12075,1,4,1986,2
324,12075,1,5,1986,49
325,12125,1,8,1986,0
326,12125,1,7,1986,0
327,12125,1,1,1986,6
328,12125,1,6,1986,27
329,12125,1,2,1986,0
330,12125,1,3,1986,1
331,12125,1,9,1986,4
332,12125,1,4,1986,0
333,12125,1,5,1986,40
334,12095,1,8,1986,83
335,12095,1,7,1986,28
336,12095,1,1,1986,744
337,12095,1,6,1986,733
338,12095,1,2,1986,6
339,12095,1,3,1986,3281
340,12095,1,9,1986,2149
341,12095,1,4,1986,47
342,12095,1,5,1986,974
343,12097,1,8,1986,6
344,12097,1,7,1986,4
345,12097,1,1,1986,70
346,12097,1,6,1986,31
347,12097,1,2,1986,1
348,12097,1,3,1986,189
349,12097,1,9,1986,355
350,12097,1,4,1986,119
351,12097,1,5,1986,139
352,12049,1,8,1986,0
353,12049,1,7,1986,0
354,12049,1,1,1986,13
355,12049,1,6,1986,5
356,12049,1,2,1986,0
357,12049,1,3,1986,39
358,12049,1,9,1986,40
359,12049,1,4,1986,14
360,12049,1,5,1986,38
361,12055,1,8,1986,1
362,12055,1,7,1986,3
363,12055,1,1,1986,48
364,12055,1,6,1986,12
365,12055,1,2,1986,0
366,12055,1,3,1986,158
367,12055,1,9,1986,179
368,12055,1,4,1986,1
369,12055,1,5,1986,134
370,12105,1,8,1986,35
371,12105,1,7,1986,179
372,12105,1,1,1986,308
373,12105,1,6,1986,153
374,12105,1,2,1986,0
375,12105,1,3,1986,1012
376,12105,1,9,1986,948
377,12105,1,4,1986,8
378,12105,1,5,1986,761
379,12086,1,8,1986,424
380,12086,1,7,1986,101
381,12086,1,1,1986,4863
382,12086,1,6,1986,2956
383,12086,1,2,1986,98
384,12086,1,3,1986,13005
385,12086,1,9,1986,8210
386,12086,1,4,1986,11
387,12086,1,5,1986,4000
388,12027,1,8,1986,0
389,12027,1,7,1986,1
390,12027,1,1,1986,5
391,12027,1,6,1986,17
392,12027,1,2,1986,0
393,12027,1,3,1986,45
394,12027,1,9,1986,50
395,12027,1,4,1986,1
396,12027,1,5,1986,65
397,12081,1,8,1986,10
