id,group,year,population
12001,1,1986,2430
12001,2,1986,8839
12001,3,1986,10611
12001,4,1986,9366
12001,5,1986,17702
12001,6,1986,29470
12001,7,1986,33134
12001,8,1986,21768
12001,9,1986,12508
12001,10,1986,11198
12001,11,1986,8790
12001,12,1986,4448
12001,13,1986,1321
12003,1,1986,293
12003,2,1986,1096
12003,3,1986,1498
12003,4,1986,1420
12003,5,1986,1476
12003,6,1986,1417
12003,7,1986,3081
12003,8,1986,2446
12003,9,1986,1581
12003,10,1986,1289
12003,11,1986,850
12003,12,1986,421
12003,13,1986,114
12005,1,1986,1999
12005,2,1986,6815
12005,3,1986,8564
12005,4,1986,8010
12005,5,1986,9133
12005,6,1986,9723
12005,7,1986,21057
12005,8,1986,16131
12005,9,1986,11818
12005,10,1986,11666
12005,11,1986,8594
12005,12,1986,3715
12005,13,1986,887
12007,1,1986,321
12007,2,1986,1189
12007,3,1986,1572
12007,4,1986,1499
12007,5,1986,1644
12007,6,1986,1725
12007,7,1986,4337
12007,8,1986,3194
12007,9,1986,2242
12007,10,1986,2090
12007,11,1986,1600
12007,12,1986,778
12007,13,1986,203
12009,1,1986,4683
12009,2,1986,17672
12009,3,1986,21299
12009,4,1986,20220
12009,5,1986,24157
12009,6,1986,25716
12009,7,1986,58985
12009,8,1986,45532
12009,9,1986,35861
12009,10,1986,41301
12009,11,1986,35657
12009,12,1986,14857
12009,13,1986,3450
12011,1,1986,14871
12011,2,1986,53950
12011,3,1986,64012
12011,4,1986,60229
12011,5,1986,66323
12011,6,1986,78231
12011,7,1986,195086
12011,8,1986,154287
12011,9,1986,105543
12011,10,1986,118182
12011,11,1986,136561
12011,12,1986,87396
12011,13,1986,19566
12013,1,1986,140
12013,2,1986,572
12013,3,1986,702
12013,4,1986,731
12013,5,1986,778
12013,6,1986,730
12013,7,1986,1506
12013,8,1986,1210
12013,9,1986,947
12013,10,1986,923
12013,11,1986,817
12013,12,1986,479
12013,13,1986,131
12015,1,1986,711
12015,2,1986,2977
12015,3,1986,3608
12015,4,1986,3488
12015,5,1986,3931
12015,6,1986,3733
12015,7,1986,9091
12015,8,1986,8195
12015,9,1986,7055
12015,10,1986,14348
12015,11,1986,18376
12015,12,1986,8735
12015,13,1986,1867
12017,1,1986,778
12017,2,1986,2959
12017,3,1986,3822
12017,4,1986,3823
12017,5,1986,3913
12017,6,1986,3354
12017,7,1986,8338
12017,8,1986,7962
12017,9,1986,7147
12017,10,1986,12776
12017,11,1986,15818
12017,12,1986,6987
12017,13,1986,1423
12019,1,1986,1373
12019,2,1986,5651
12019,3,1986,7514
12019,4,1986,7565
12019,5,1986,7779
12019,6,1986,6363
12019,7,1986,15820
12019,8,1986,15385
12019,9,1986,9475
12019,10,1986,6947
12019,11,1986,4551
12019,12,1986,2189
12019,13,1986,727
12021,1,1986,1679
12021,2,1986,5820
12021,3,1986,6787
12021,4,1986,6313
12021,5,1986,6857
12021,6,1986,7699
12021,7,1986,18026
12021,8,1986,14729
12021,9,1986,11180
12021,10,1986,15839
12021,11,1986,17188
12021,12,1986,7665
12021,13,1986,1520
12023,1,1986,622
12023,2,1986,2502
12023,3,1986,3208
12023,4,1986,3041
12023,5,1986,3325
12023,6,1986,2910
12023,7,1986,6228
12023,8,1986,5321
12023,9,1986,3903
12023,10,1986,3955
12023,11,1986,3123
