Circuit,County,DivisionOfCourt,TypeOfCase,TypeOfDisposition,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Escambia,Circuit Criminal,Capital Murder,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,Before Trial - Dismissed,3,1,2,1,1,2,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0
1,Escambia,Circuit Criminal,Capital Murder,Before Trial - Transferred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,Before Trial - Plea,13,4,4,5,10,8,1,0,0,2,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,2,0,6
1,Escambia,Circuit Criminal,Capital Murder,Before Trial - Other,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
1,Escambia,Circuit Criminal,Capital Murder,After Trial - Non Jury Acquitted/Dismissed,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,After Trial - Non Jury Plea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,After Trial - Non Jury Convicted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,After Trial - Jury Acquitted/Dismissed,0,1,0,0,0,0,2,1,0,1,2,3,0,2,0,0,1,0,1,1,3,2,1,2,1,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,After Trial - Jury Plea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Capital Murder,After Trial - Jury Convicted,2,2,6,12,4,10,3,1,7,2,4,4,4,5,7,2,4,3,5,7,5,2,3,8,1,10,7,4
1,Escambia,Circuit Criminal,Non Capital Murder,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Non Capital Murder,Before Trial - Dismissed,2,1,1,8,8,10,4,2,2,0,2,0,0,0,2,1,0,0,0,0,3,3,0,2,0,1,4,4
1,Escambia,Circuit Criminal,Non Capital Murder,Before Trial - Transferred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Escambia,Circuit Criminal,Non Capital Murder,Before Trial - Plea,8,13,10,19,12,14,26,17,14,14,8,5,8,7,2,3,8,18,7,5,10,7,9,7,5,12,4,15
1,Escambia,Circuit Criminal,Non Capital Murder,Before Trial - Other,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,2,1,4,0,1,0,0,1,0,2,2,1,0
1,Escambia,Circuit Criminal,Non Capital Murder,After Trial - Non Jury Acquitted/Dismissed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Non Capital Murder,After Trial - Non Jury Plea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Non Capital Murder,After Trial - Non Jury Convicted,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Non Capital Murder,After Trial - Jury Acquitted/Dismissed,0,1,0,2,1,0,1,2,1,0,3,0,1,0,2,1,3,2,1,2,3,0,3,3,1,3,0,0
1,Escambia,Circuit Criminal,Non Capital Murder,After Trial - Jury Plea,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0
1,Escambia,Circuit Criminal,Non Capital Murder,After Trial - Jury Convicted,0,3,2,6,2,6,3,11,9,6,5,8,8,6,6,9,7,4,3,6,10,7,3,13,10,7,5,7
1,Escambia,Circuit Criminal,Sexual Offenses,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Sexual Offenses,Before Trial - Dismissed,31,23,17,18,31,11,5,9,16,14,7,16,16,18,11,19,15,23,21,33,16,17,20,15,22,19,11,17
1,Escambia,Circuit Criminal,Sexual Offenses,Before Trial - Transferred,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,Escambia,Circuit Criminal,Sexual Offenses,Before Trial - Plea,134,153,148,128,127,88,132,97,112,79,77,65,79,101,62,75,56,72,60,70,69,62,47,50,31,32,52,50
1,Escambia,Circuit Criminal,Sexual Offenses,Before Trial - Other,1,8,2,2,1,2,1,2,3,1,2,6,1,0,5,4,4,0,0,7,3,5,4,4,1,1,5,3
1,Escambia,Circuit Criminal,Sexual Offenses,After Trial - Non Jury Acquitted/Dismissed,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
1,Escambia,Circuit Criminal,Sexual Offenses,After Trial - Non Jury Plea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,Escambia,Circuit Criminal,Sexual Offenses,After Trial - Non Jury Convicted,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1,Escambia,Circuit Criminal,Sexual Offenses,After Trial - Jury Acquitted/Dismissed,11,9,8,10,12,7,8,9,2,3,9,10,4,9,6,8,8,7,3,10,11,5,11,9,10,5,6,2
1,Escambia,Circuit Criminal,Sexual Offenses,After Trial - Jury Plea,1,2,0,0,2,1,0,1,1,1,0,0,2,2,2,0,0,0,1,1,0,0,1,0,0,1,0,0
1,Escambia,Circuit Criminal,Sexual Offenses,After Trial - Jury Convicted,8,7,4,7,17,4,14,8,5,5,10,8,15,11,4,5,4,10,1,15,12,10,10,9,8,12,9,3
1,Escambia,Circuit Criminal,Robbery,Before Trial - Speedy Trial Rule Dismissals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Robbery,Before Trial - Dismissed,17,20,6,19,25,14,14,26,11,18,19,19,22,17,16,28,28,39,15,33,34,58,54,41,48,35,32,36
1,Escambia,Circuit Criminal,Robbery,Before Trial - Transferred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,Escambia,Circuit Criminal,Robbery,Before Trial - Plea,102,179,136,160,151,154,197,133,105,140,124,108,103,93,65,83,111,95,49,57,68,108,102,103,87,62,103,84
1,Escambia,Circuit Criminal,Robbery,Before Trial - Other,5,1,8,1,1,1,2,1,0,0,12,2,0,0,1,1,1,2,1,3,3,11,6,2,1,4,0,1
1,Escambia,Circuit Criminal,Robbery,After Trial - Non Jury Acquitted/Dismissed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Robbery,After Trial - Non Jury Plea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,Escambia,Circuit Criminal,Robbery,After Trial - Non Jury Convicted,0,0,2,0,0,1,0,4,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
1,Escambia,Circuit Criminal,Robbery,After Trial - Jury Acquitted/Dismissed,2,3,3,1,1,12,15,4,0,2,4,8,6,6,2,2,5,5,5,4,5,7,4,5,6,8,8,3
1,Escambia,Circuit Criminal,Robbery,After Trial - Jury Plea,0,1,0,1,0,0,6,0,0,0,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,Escambia,Circuit Criminal,Robbery,After Trial - Jury Convicted,8,6,1,10,5,15,9,9,4,1,8,7,7,17,10,10,14,11,3,6,7,5,16,19,11,21,11,4
1,Escambia,Circuit Criminal,Other Crimes Against Person,Before Trial - Speedy Trial Rule Dismissals,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Person,Before Trial - Dismissed,115,81,82,102,114,76,87,85,81,100,110,87,127,110,161,231,222,183,218,244,297,191,229,339,266,352,340,304
1,Escambia,Circuit Criminal,Other Crimes Against Person,Before Trial - Transferred,21,0,0,0,2,0,0,0,1,4,5,3,1,2,0,1,1,0,1,0,1,0,0,1,3,1,0,9
1,Escambia,Circuit Criminal,Other Crimes Against Person,Before Trial - Plea,683,544,696,646,706,847,939,691,725,511,543,455,760,878,935,602,632,612,533,701,723,581,591,657,589,597,672,807
1,Escambia,Circuit Criminal,Other Crimes Against Person,Before Trial - Other,11,1,9,3,4,17,22,67,84,48,112,57,52,30,26,44,46,33,39,52,48,51,36,55,25,23,9,32
1,Escambia,Circuit Criminal,Other Crimes Against Person,After Trial - Non Jury Acquitted/Dismissed,2,5,4,1,4,1,5,8,4,4,8,6,3,6,0,0,1,2,1,2,2,0,0,0,0,2,0,0
1,Escambia,Circuit Criminal,Other Crimes Against Person,After Trial - Non Jury Plea,2,4,0,1,1,3,0,5,1,0,0,0,0,0,0,0,1,2,1,3,7,1,0,5,3,3,3,2
1,Escambia,Circuit Criminal,Other Crimes Against Person,After Trial - Non Jury Convicted,4,0,2,2,1,1,2,6,2,2,5,7,7,7,7,1,2,1,2,3,1,4,1,2,1,3,1,4
