name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Auto Negligence,22022,21966,21691,20456,19668,19654,20078,19309,20313,19116,19707,18755,17983,17478,17839,19373,20765,20920,20127,19690,18689,19973,20847,20105,20018,19726,19104,19368
Baker Act,38366,34486,31266,30219,28833,27064,26540,25957,26034,25106,24368,23041,21308,20666,19795,19663,19439,15860,14921,15083,14120,13343,13352,13234,12563,11416,11081,10539
Burglary,20005,23213,24523,24157,24036,24568,22539,20056,18120,17657,18188,18409,17649,17518,18089,19659,20496,21453,21465,22180,23085,24186,26102,27701,28717,27019,22908,17302
Capital Murder,369,403,423,442,466,540,483,415,405,448,399,460,437,403,418,376,492,522,527,616,602,667,715,763,721,785,711,828
Child Support,25002,19092,49857,49281,33472,31277,30516,28607,34095,37028,32278,39295,33965,28319,22232,18022,16019,13542,15439,15110,14351,11643,12552,13666,12855,11088,8253,7487
"Civil ($5,001 to $15,000)",78597,99847,119103,142238,150586,123327,114754,95276,87827,81693,86288,84384,81001,72754,62677,60140,62409,92428,79568,75801,68938,67929,69649,48713,46544,42951,41931,39230
Civil Traffic Infractions,1803729,1917889,1705305,1606586,1815055,1879784,1562123,1513589,1390722,1307995,1280163,1097369,857592,620069,613207,590403,518398,481270,452027,436248,447960,488253,535614,544714,503992,508995,489585,384458
Condominium,2001,2561,2800,2656,2834,2362,1969,737,226,162,221,345,307,430,730,630,559,748,351,433,832,1264,931,1003,986,838,632,554
Contract & Indebtedness,42304,45926,57448,77214,82658,61488,47022,39105,36097,30735,32097,31828,31618,28891,26844,26747,26689,25898,23815,23690,26211,32795,43803,60415,63008,55625,53850,52849
County Ordinances,15052,16669,20665,20691,24564,32549,42689,34756,29984,40200,49184,48647,53068,50459,50094,47144,42007,39342,33513,33244,32265,35308,38788,44671,39749,34732,37240,33897
Dissolution,81416,84409,89269,89472,85090,84789,90248,92927,90050,90209,94033,94789,91494,89058,83955,85183,86815,83481,85377,83850,84575,84165,82237,81643,80946,80232,80973,80871
Domestic Violence,53982,54605,57645,57314,61138,62645,65349,65114,65663,63298,62491,61603,59568,58798,56873,58414,57828,56183,51108,49220,44542,38712,27898,31422,25743,17134,13133,10446
Drugs,48983,50310,55365,59742,62222,69622,74082,74028,69449,63951,58017,55329,54688,55546,60144,60815,58158,53666,48173,46871,42522,43429,46133,45862,54317,47820,37313,27456
DUI,36634,48997,52737,55519,59587,64734,70143,69704,68106,69102,69541,68274,62932,61923,57974,40580,54890,42140,49345,49560,52875,59846,66599,73029,63854,62405,67752,75323
Eminent Domain,504,754,557,799,1099,997,1622,1370,1717,2914,2160,3587,3220,3334,2235,1968,1206,1528,2073,2181,1775,2042,2456,1430,1522,1765,1109,1691
Evictions,148870,147599,144370,139698,135594,159093,166522,164547,164064,153765,142316,135862,129985,122559,117258,114537,112258,110867,107611,107825,106006,96425,98206,100488,102606,96755,88716,81952
Guardianship,6377,6311,6140,6397,6555,6954,7054,7377,7406,7646,7986,8511,8459,8228,7924,8163,8561,8850,8518,8639,8469,7853,7580,7569,8366,8488,9220,8769
Juvenile Delinquency,41858,46204,50597,54412,61032,68404,72587,72786,75006,75667,76400,75933,78578,82746,81576,85702,87296,91018,87479,85567,74872,72044,69828,64369,64433,59688,57385,50292
Juvenile Dependency,8943,9304,10092,9028,9651,9790,11825,14374,14970,13011,13231,13379,13136,13109,12761,8861,7866,6932,6762,7440,7833,8973,10820,12100,14114,11907,13547,13453
Misdemeanors,308449,312537,332752,341966,373986,387389,402868,389365,375967,335657,334985,331131,326062,326833,323321,326000,321136,308777,298428,286344,270599,280890,273482,289530,281767,249617,237302,214666
Municipal Ordinances,29217,31277,32365,33840,40923,38241,44513,47892,45870,53777,56579,66537,72948,68562,68425,66935,66032,62497,57674,60423,61176,71540,77253,89362,79490,77921,87976,88148
Non Capital Murder,1178,1238,1320,1349,1444,1495,1520,1401,1176,1066,1369,1304,1221,1141,1147,1212,1320,1394,1512,1593,1679,1863,1994,2090,1947,1803,1476,1196
Non DUI Criminal Traffic,296779,384175,408101,442393,450849,519502,539882,526587,473488,443193,439576,402042,383741,385137,400588,443985,450747,482406,496275,506792,499283,540205,589025,594897,543168,455255,402234,662754
Other Circuit Civil,25214,26233,26981,28460,35963,37734,36372,33793,33103,33562,34603,32101,30361,29972,28492,27156,27941,26549,26788,26892,25613,26331,28455,28426,25600,25675,24592,23363
Other Civil (non-monetary),4099,2990,2830,2941,5291,5057,5962,5512,4075,2653,2859,3694,4920,3819,3641,3187,2530,2431,1623,786,1000,951,681,407,190,193,737,1504
Other Crimes Against Person,25586,28012,28382,28215,28158,28210,28434,28355,28272,28088,30072,30341,31323,33216,34445,33751,29059,29904,24444,22387,21084,20934,19824,21111,19802,17817,15557,13573
Other Crimes Against Property,1948,1954,1671,1633,1669,1816,2126,2660,2335,1573,1558,1546,1671,1660,1499,1701,1573,1387,1336,1223,1143,1167,1181,1316,1705,2098,2337,2830
Other Domestic Relations,37202,35988,49958,45322,41594,40933,40262,42758,47533,50000,51183,57264,53733,45556,43281,45023,44526,40430,44721,47224,42407,36040,35348,38794,30955,27230,24357,25123
Other Felonies,27300,28157,26784,25997,26299,35302,42158,40758,36496,27225,22212,19225,18472,18089,17206,17389,14949,15457,14207,13194,12097,12047,13865,16478,17032,15581,12232,10751
Other Negligence,12847,13467,13182,13044,12520,12880,12018,12186,12355,12841,13307,13521,13572,12400,12710,12900,12746,13110,12298,12696,11856,11925,11719,11420,11880,10701,11266,12062
Other Social,4696,4517,4273,4522,4561,4678,4821,5156,5176,5527,5581,5264,4609,4418,4566,4816,4901,5077,4991,4904,6693,6379,6424,5639,7705,8597,6812,5834
Probate,51709,48644,48532,48636,49384,53136,55942,60312,64959,61532,57133,56017,55598,56131,53445,52839,51905,50655,49288,49138,47673,46761,45435,46944,45582,46641,46514,45215
