name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
Age 0,235135,232579,230215,227778,225296,222811,220365,211231,209035,223227,224098,220233,230660,237193,236579,226176,220922,211257,204486,204733,202607,195521,194149,190946,187933,187132,189006,190799,189845,191991,197234,190982,182047,173225,165787,161881,153663,147246,142640,136673,129893,119332,111774,109162,103039,103856,108495,105677,107870,114081,112644
Age 1-4,940545,930319,920878,911111,901168,891233,881463,880025,868895,837104,834824,923983,905284,871978,857820,848666,840464,808356,781008,787332,752066,737786,729556,733187,738827,748894,758595,755015,742116,729394,687549,652294,626308,608959,591267,569800,551698,532916,506728,481909,448565,435156,428045,427754,440746,464847,460693,450296,429817,407008,391737
Age 5-9,1157100,1151250,1149508,1147208,1144368,1141239,1127827,1112712,1095035,1084919,1075834,1142304,1142197,1139610,1125378,1105270,1068674,1059269,1032960,1036297,1032808,1027092,1018562,1002642,981316,956490,928023,896629,869209,854942,818999,791413,771371,744851,717105,686352,660125,636994,622796,616486,621594,615234,611562,610417,608777,602680,603695,599431,596868,598777,603868
Age 10-14,1238514,1225896,1209363,1192551,1175523,1158542,1147816,1140733,1130994,1128809,1126960,1151936,1164235,1173750,1170932,1165749,1154817,1112637,1087062,1074042,1061958,1030792,991289,966214,944092,920021,895199,867123,831519,805575,758348,723359,698777,683502,676112,688340,694477,701654,704089,702498,688757,677727,679409,693059,709628,728224,729807,709278,685763,666544,647191
Age 15-19,1278030,1262970,1246724,1230300,1213698,1197254,1195646,1200272,1201681,1207467,1217572,1205718,1206388,1204941,1190905,1172614,1149626,1102361,1074176,1055817,1022719,989112,956350,922606,887301,853632,825740,801465,788429,784108,800652,801757,802910,798196,788806,772619,768836,776746,789982,803866,812240,800536,784892,777559,770904,758469,739235,699834,656700,616807,583601
Age 20-24,1290716,1292100,1300566,1308145,1314793,1320979,1304345,1282463,1257586,1235335,1219698,1209953,1203826,1196395,1175297,1151282,1141785,1038038,1012153,984813,939099,903966,877076,860317,849228,855458,862269,863335,869491,870167,878669,868756,869455,876856,882850,888145,882232,871377,859972,846869,818392,794211,766256,744178,720987,702796,671207,627314,587219,559124,509737
Age 25-34,2712422,2673901,2629040,2584014,2538980,2494649,2447560,2403341,2352723,2306898,2272695,2281287,2272113,2259101,2221896,2169191,2114627,2120794,2071620,2083035,2086402,2071054,2078343,2103482,2118987,2125881,2129987,2129966,2145468,2145514,2125870,2081725,2033423,1977830,1910080,1835560,1758448,1683623,1609883,1548243,1438555,1346899,1272996,1223817,1169925,1118029,1063022,981674,900080,816651,768900
Age 35-44,2509813,2474537,2444341,2413605,2382346,2351326,2350584,2362567,2367106,2395451,2421253,2433459,2481650,2525432,2544341,2559269,2515128,2541604,2490536,2478306,2488959,2445284,2382246,2321998,2251266,2176563,2098672,2021357,1959550,1917622,1830009,1732307,1652154,1587364,1507022,1425134,1349132,1273359,1199065,1109237,1051361,996844,944473,899414,872881,856707,844519,812606,782059,760754,748346
Age 45-54,2550828,2575563,2606523,2635425,2662317,2687850,2693974,2697200,2693194,2726097,2744741,2652212,2627769,2601729,2551058,2488666,2419314,2304679,2267322,2163930,2090243,1995809,1893110,1817926,1733377,1650994,1570953,1490623,1427626,1340186,1291371,1242837,1189755,1131087,1091601,1065062,1044341,1027529,1016327,1008774,994915,967878,946590,935801,931234,926116,913058,876015,833286,797662,767772
Age 55-64,2939708,2892384,2830559,2768713,2706974,2645992,2579434,2515421,2447516,2413585,2368230,2253825,2198837,2142955,2067667,1976581,1925093,1790311,1758361,1665444,1579582,1508272,1438765,1365920,1314581,1286878,1266249,1247843,1248175,1251841,1266366,1256498,1253180,1249002,1243558,1233540,1216254,1197495,1179557,1158993,1131187,1074728,1021705,983570,950574,922804,895688,846880,794952,751905,713958
Age 65-74,2452453,2373420,2286276,2199938,2114545,2030580,1961341,1900490,1837950,1803948,1760445,1584274,1565961,1546842,1513436,1460734,1433804,1517846,1489751,1463755,1455587,1445428,1456934,1465328,1470070,1463428,1451927,1433272,1409516,1391490,1372242,1336112,1305260,1279317,1244568,1211963,1183226,1157353,1129892,1102372,1067585,1035040,990830,946283,907963,872696,831990,791532,746722,701996,656231
Age 75-84,1359943,1318084,1279852,1242033,1204638,1167960,1147281,1133668,1118494,1119075,1114335,1141403,1148391,1150763,1149747,1142811,1071348,1103047,1085544,1048642,1029871,1006711,984061,964172,939150,906789,881634,856301,834864,816227,792709,762356,733456,706015,676601,648739,621516,595786,570985,546057,517689,493504,468150,441499,419958,401347,379084,356801,334411,312079,289759
Age 85+,543512,534471,528187,521824,515342,508863,494612,478736,462249,452260,439593,511257,489526,450269,432540,409654,420887,364169,363054,338714,332995,322779,309527,296959,285165,273354,262301,249373,235543,224610,209096,198251,188944,181396,172283,163701,155280,146948,138462,129590,119584,111634,102934,94805,87422,81869,75452,68911,63786,58607,57432
