AgeGroup,1960,1970,1980,1990,2000,2010,2020,2030,2040
0-4,"542,221","501,172","570,247","873,033","945,853","1,073,506","1,169,790","1,291,884","1,371,016"
9-May,"490,152","605,715","621,565","809,316","1,031,748","1,080,255","1,152,095","1,298,934","1,404,430"
14-Oct,"434,842","643,011","685,048","746,353","1,057,055","1,130,847","1,232,746","1,308,786","1,430,201"
15-17,"214,279","359,229","482,909","455,165","611,794","717,483","745,813","775,656","864,095"
17-May,"1,139,273","1,607,955","1,789,522","2,010,834","2,700,597","2,928,585","3,130,654","3,383,376","3,698,726"
18-19,"123,403","217,541","328,473","348,626","402,302","510,899","524,754","545,907","606,383"
20-24,"296,631","496,521","811,469","878,855","928,334","1,228,758","1,288,034","1,416,318","1,482,906"
18-24,"420,034","714,062","1,139,942","1,227,481","1,330,636","1,739,657","1,812,788","1,962,225","2,089,289"
25-29,"296,161","403,103","739,949","1,055,088","995,394","1,179,227","1,367,759","1,428,970","1,472,243"
30-34,"326,983","358,666","671,630","1,062,270","1,088,782","1,110,318","1,353,403","1,441,020","1,568,066"
35-39,"338,734","355,416","554,259","951,471","1,261,083","1,178,467","1,302,611","1,533,336","1,589,756"
40-44,"313,468","391,458","484,550","851,931","1,224,256","1,252,787","1,207,110","1,476,938","1,569,976"
25-44,"1,275,346","1,508,643","2,450,388","3,920,760","4,569,515","4,720,799","5,230,883","5,880,264","6,200,041"
45-49,"293,431","394,448","471,308","690,766","1,085,434","1,401,202","1,249,299","1,387,263","1,627,905"
50-54,"262,798","367,550","517,915","591,856","984,102","1,340,291","1,309,220","1,269,240","1,542,068"
55-59,"240,928","347,341","555,238","586,879","821,531","1,202,418","1,481,073","1,328,848","1,467,693"
60-64,"222,411","358,917","564,696","680,524","737,506","1,135,250","1,456,751","1,435,621","1,377,781"
45-64,"1,019,568","1,468,256","2,109,157","2,550,025","3,628,573","5,079,161","5,496,343","5,420,972","6,015,447"
65-69,"224,162","357,541","579,058","737,123","727,505","959,233","1,305,062","1,630,006","1,447,737"
70-74,"165,552","289,140","480,167","627,705","724,697","768,707","1,129,406","1,465,192","1,439,404"
75-79,"96,677","188,217","329,229","483,538","616,703","615,514","828,115","1,139,225","1,421,578"
80-84,"44,452","96,896","181,878","302,103","407,444","482,023","507,945","760,926","986,754"
85 and up,"24,275","57,565","117,373","205,469","331,301","434,125","538,711","674,902","933,585"
65 and up,"555,118","989,359","1,687,705","2,355,938","2,807,650","3,259,602","4,309,239","5,670,251","6,229,058"
