categ,date,value
Age < 0,1970,112644
Age 1-4,1970,391737
Age 5-9,1970,603868
Age 10-14,1970,647191
Age 15-19,1970,583601
Age 20-24,1970,509737
Age 25-34,1970,768900
Age 35-44,1970,748346
Age 45-54,1970,767772
Age 55-64,1970,713958
Age 65-74,1970,656231
Age 75-84,1970,289759
Age 85+,1970,57432
Age < 0,1971,114081
Age 1-4,1971,407008
Age 5-9,1971,598777
Age 10-14,1971,666544
Age 15-19,1971,616807
Age 20-24,1971,559124
Age 25-34,1971,816651
Age 35-44,1971,760754
Age 45-54,1971,797662
Age 55-64,1971,751905
Age 65-74,1971,701996
Age 75-84,1971,312079
Age 85+,1971,58607
Age < 0,1972,107870
Age 1-4,1972,429817
Age 5-9,1972,596868
Age 10-14,1972,685763
Age 15-19,1972,656700
Age 20-24,1972,587219
Age 25-34,1972,900080
Age 35-44,1972,782059
Age 45-54,1972,833286
Age 55-64,1972,794952
Age 65-74,1972,746722
Age 75-84,1972,334411
Age 85+,1972,63786
Age < 0,1973,105677
Age 1-4,1973,450296
Age 5-9,1973,599431
Age 10-14,1973,709278
Age 15-19,1973,699834
Age 20-24,1973,627314
Age 25-34,1973,981674
Age 35-44,1973,812606
Age 45-54,1973,876015
Age 55-64,1973,846880
Age 65-74,1973,791532
Age 75-84,1973,356801
Age 85+,1973,68911
Age < 0,1974,108495
Age 1-4,1974,460693
Age 5-9,1974,603695
Age 10-14,1974,729807
Age 15-19,1974,739235
Age 20-24,1974,671207
Age 25-34,1974,1063022
Age 35-44,1974,844519
Age 45-54,1974,913058
Age 55-64,1974,895688
Age 65-74,1974,831990
Age 75-84,1974,379084
Age 85+,1974,75452
Age < 0,1975,103856
Age 1-4,1975,464847
Age 5-9,1975,602680
Age 10-14,1975,728224
Age 15-19,1975,758469
Age 20-24,1975,702796
Age 25-34,1975,1118029
Age 35-44,1975,856707
Age 45-54,1975,926116
Age 55-64,1975,922804
Age 65-74,1975,872696
Age 75-84,1975,401347
Age 85+,1975,81869
Age < 0,1976,103039
Age 1-4,1976,440746
Age 5-9,1976,608777
Age 10-14,1976,709628
Age 15-19,1976,770904
Age 20-24,1976,720987
Age 25-34,1976,1169925
Age 35-44,1976,872881
Age 45-54,1976,931234
Age 55-64,1976,950574
Age 65-74,1976,907963
Age 75-84,1976,419958
Age 85+,1976,87422
Age < 0,1977,109162
Age 1-4,1977,427754
Age 5-9,1977,610417
Age 10-14,1977,693059
Age 15-19,1977,777559
Age 20-24,1977,744178
Age 25-34,1977,1223817
Age 35-44,1977,899414
Age 45-54,1977,935801
Age 55-64,1977,983570
Age 65-74,1977,946283
Age 75-84,1977,441499
Age 85+,1977,94805
Age < 0,1978,111774
Age 1-4,1978,428045
Age 5-9,1978,611562
Age 10-14,1978,679409
Age 15-19,1978,784892
Age 20-24,1978,766256
Age 25-34,1978,1272996
Age 35-44,1978,944473
Age 45-54,1978,946590
Age 55-64,1978,1021705
Age 65-74,1978,990830
Age 75-84,1978,468150
Age 85+,1978,102934
Age < 0,1979,119332
Age 1-4,1979,435156
Age 5-9,1979,615234
Age 10-14,1979,677727
Age 15-19,1979,800536
Age 20-24,1979,794211
Age 25-34,1979,1346899
Age 35-44,1979,996844
Age 45-54,1979,967878
Age 55-64,1979,1074728
Age 65-74,1979,1035040
Age 75-84,1979,493504
Age 85+,1979,111634
Age < 0,1980,129893
Age 1-4,1980,448565
Age 5-9,1980,621594
Age 10-14,1980,688757
Age 15-19,1980,812240
Age 20-24,1980,818392
Age 25-34,1980,1438555
Age 35-44,1980,1051361
Age 45-54,1980,994915
Age 55-64,1980,1131187
Age 65-74,1980,1067585
Age 75-84,1980,517689
Age 85+,1980,119584
