symbol,date,price
1-5 Events,1989,22.1
1-5 Events,1990,20.1
1-5 Events,1991,10.3
1-5 Events,1992,26
1-5 Events,1993,59.5
1-5 Events,1994,72.1
1-5 Events,1995,66.6
1-5 Events,1996,24.1
1-5 Events,1997,38.6
1-5 Events,1998,48.4
1-5 Events,1999,54.2
1-5 Events,2000,44.1
1-5 Events,2001,43.8
1-5 Events,2002,46.4
1-5 Events,2003,26.8
1-5 Events,2004,57.9
1-5 Events,2005,57.6
1-5 Events,2006,65.7
1-5 Events,2007,67.7
1-5 Events,2008,65
1-5 Events,2009,62.6
1-5 Events,2010,56.3
1-5 Events,2011,65.8
1-5 Events,2012,64.2
1-5 Events,2013,77.2
1-5 Events,2014,76.5
6-10 Events,1989,47.7
6-10 Events,1990,48
6-10 Events,1991,53
6-10 Events,1992,39.4
6-10 Events,1993,78.2
6-10 Events,1994,70.4
6-10 Events,1995,76.6
6-10 Events,1996,66.6
6-10 Events,1997,69.9
6-10 Events,1998,64.2
6-10 Events,1999,78
6-10 Events,2000,69.1
6-10 Events,2001,77.6
6-10 Events,2002,78.1
6-10 Events,2003,83.4
6-10 Events,2004,84.4
6-10 Events,2005,87.7
6-10 Events,2006,90.3
6-10 Events,2007,95.5
6-10 Events,2008,94
6-10 Events,2009,91.3
6-10 Events,2010,88.1
6-10 Events,2011,91.3
6-10 Events,2012,93.4
6-10 Events,2013,92.2
6-10 Events,2014,96.5
11-20 Events,1989,57.5
11-20 Events,1990,60.2
11-20 Events,1991,71
11-20 Events,1992,67
11-20 Events,1993,90.7
11-20 Events,1994,86.1
11-20 Events,1995,88.4
11-20 Events,1996,81.8
11-20 Events,1997,79.1
11-20 Events,1998,85.1
11-20 Events,1999,85.6
11-20 Events,2000,94
11-20 Events,2001,92.5
11-20 Events,2002,91.6
11-20 Events,2003,92.6
11-20 Events,2004,90.5
11-20 Events,2005,84
11-20 Events,2006,90.3
11-20 Events,2007,91.7
11-20 Events,2008,93.1
11-20 Events,2009,95.2
11-20 Events,2010,91.4
11-20 Events,2011,92.3
11-20 Events,2012,96.2
11-20 Events,2013,91
11-20 Events,2014,90.6
21-40 Events,1989,51.2
21-40 Events,1990,50
21-40 Events,1991,41.5
21-40 Events,1992,57.5
21-40 Events,1993,81.5
21-40 Events,1994,73.2
21-40 Events,1995,74.4
21-40 Events,1996,73.7
21-40 Events,1997,77.4
21-40 Events,1998,76.4
21-40 Events,1999,75.6
21-40 Events,2000,76.5
21-40 Events,2001,77.5
21-40 Events,2002,71.6
21-40 Events,2003,76.6
21-40 Events,2004,76.9
21-40 Events,2005,73.6
21-40 Events,2006,80.8
21-40 Events,2007,77
21-40 Events,2008,71.8
21-40 Events,2009,75.7
21-40 Events,2010,80.7
21-40 Events,2011,77.6
21-40 Events,2012,78.3
21-40 Events,2013,82.7
21-40 Events,2014,72.5
41+ Events,1989,14.4
41+ Events,1990,22.8
41+ Events,1991,22.7
41+ Events,1992,23.7
41+ Events,1993,31.4
41+ Events,1994,34.5
41+ Events,1995,31.4
41+ Events,1996,34.6
41+ Events,1997,29.3
41+ Events,1998,32.3
41+ Events,1999,39.5
41+ Events,2000,30.7
41+ Events,2001,28.4
41+ Events,2002,40.8
41+ Events,2003,45
41+ Events,2004,55.2
41+ Events,2005,52
41+ Events,2006,46.7
41+ Events,2007,45
41+ Events,2008,43.2
41+ Events,2009,30.1
41+ Events,2010,46.3
41+ Events,2011,43.7
41+ Events,2012,50.6
41+ Events,2013,56.9
41+ Events,2014,57.8
