id,year,income
12001,1986,13391
12001,1987,14185
12001,1988,15256
12001,1989,16644
12001,1990,17476
12001,1991,17810
12001,1992,18359
12001,1993,19093
12001,1994,19888
12001,1995,20732
12001,1996,21360
12001,1997,22233
12001,1998,23325
12001,1999,23942
12001,2000,25161
12001,2001,26155
12001,2002,26612
12001,2003,27321
12001,2004,30481
12001,2005,32406
12001,2006,34052
12001,2007,35269
12001,2008,36183
12001,2009,34613
12001,2010,35924
12001,2011,37588
12001,2012,37607
12001,2013,38225
12003,1986,10909
12003,1987,11564
12003,1988,12371
12003,1989,12896
12003,1990,13603
12003,1991,13650
12003,1992,14171
12003,1993,14708
12003,1994,15340
12003,1995,15895
12003,1996,16518
12003,1997,17312
12003,1998,18299
12003,1999,19487
12003,2000,20067
12003,2001,20999
12003,2002,21399
12003,2003,22737
12003,2004,24018
12003,2005,24839
12003,2006,25686
12003,2007,26498
12003,2008,26380
12003,2009,25234
12003,2010,25639
12003,2011,26224
12003,2012,26472
12003,2013,26670
12005,1986,13441
12005,1987,13690
12005,1988,14535
12005,1989,15522
12005,1990,16630
12005,1991,17511
12005,1992,18247
12005,1993,19034
12005,1994,19415
12005,1995,20694
12005,1996,21385
12005,1997,22218
12005,1998,23332
12005,1999,23990
12005,2000,24972
12005,2001,26642
12005,2002,27598
12005,2003,29195
12005,2004,31014
12005,2005,33073
12005,2006,34736
12005,2007,36405
12005,2008,37175
12005,2009,35942
12005,2010,37214
12005,2011,38366
12005,2012,37843
12005,2013,37915
12007,1986,9749
12007,1987,10113
12007,1988,10911
12007,1989,11642
12007,1990,12185
12007,1991,12332
12007,1992,13298
12007,1993,13885
12007,1994,14411
12007,1995,15367
12007,1996,16560
12007,1997,17664
12007,1998,19016
12007,1999,18417
12007,2000,19573
12007,2001,20804
12007,2002,21203
12007,2003,21999
12007,2004,23419
12007,2005,24622
12007,2006,25672
12007,2007,26846
12007,2008,27717
12007,2009,27919
12007,2010,29052
12007,2011,30400
12007,2012,31763
12007,2013,32151
12009,1986,15456
12009,1987,16178
12009,1988,17274
12009,1989,18769
12009,1990,19069
12009,1991,19452
12009,1992,20290
12009,1993,20676
12009,1994,21171
12009,1995,21981
12009,1996,22739
12009,1997,24102
12009,1998,25172
12009,1999,25965
12009,2000,28307
12009,2001,29165
12009,2002,29684
12009,2003,30924
12009,2004,32644
12009,2005,34265
12009,2006,36413
12009,2007,37623
12009,2008,38046
12009,2009,36981
12009,2010,37431
12009,2011,39275
12009,2012,39223
12009,2013,39420
12011,1986,18741
12011,1987,19731
12011,1988,20856
12011,1989,22830
12011,1990,23521
12011,1991,23300
12011,1992,23994
12011,1993,24844
12011,1994,25342
12011,1995,26541
12011,1996,27425
12011,1997,27738
12011,1998,29341
12011,1999,29924
12011,2000,31478
12011,2001,32877
12011,2002,33804
12011,2003,34618
12011,2004,36599
12011,2005,39641
12011,2006,41934
12011,2007,43669
12011,2008,43195
12011,2009,40556
12011,2010,41411
12011,2011,42433
12011,2012,43161
12011,2013,43792
12013,1986,8586
12013,1987,9210
12013,1988,10323
12013,1989,10312
12013,1990,11482
12013,1991,11702
12013,1992,12347
12013,1993,12849
12013,1994,13302
12013,1995,14111
12013,1996,14265
12013,1997,15063
12013,1998,15512
12013,1999,16664
12013,2000,16561
12013,2001,18233
12013,2002,18101
12013,2003,18575
12013,2004,19082
12013,2005,20330
12013,2006,20835
12013,2007,21392
12013,2008,22004
12013,2009,21170
12013,2010,22439
12013,2011,22854
12013,2012,23043
12013,2013,23484
12015,1986,14826
12015,1987,15403
12015,1988,16567
12015,1989,18451
12015,1990,18327
12015,1991,18129
12015,1992,18831
12015,1993,19432
12015,1994,20407
12015,1995,21336
12015,1996,22408
12015,1997,23702
12015,1998,24951
12015,1999,25605
12015,2000,27189
12015,2001,27355
12015,2002,26568
12015,2003,27004
12015,2004,30323
12015,2005,32372
12015,2006,35047
12015,2007,36187
12015,2008,35833
12015,2009,33969
12015,2010,34369
12015,2011,36577
12015,2012,36911
12015,2013,37588
12017,1986,12457
12017,1987,13032
12017,1988,13904
12017,1989,15164
12017,1990,15392
12017,1991,15783
12017,1992,16371
12017,1993,17037
12017,1994,17837
12017,1995,18092
12017,1996,18829
12017,1997,20039
12017,1998,20980
12017,1999,22027
12017,2000,23408
12017,2001,23988
12017,2002,24292
12017,2003,25053
12017,2004,26249
12017,2005,28208
12017,2006,29786
12017,2007,31081
12017,2008,31591
12017,2009,31047
12017,2010,31936
12017,2011,33393
12017,2012,33935
12017,2013,34380
12019,1986,15707
12019,1987,16386
12019,1988,17231
12019,1989,18090
12019,1990,19227
12019,1991,19480
12019,1992,20034
12019,1993,20815
12019,1994,21576
12019,1995,22572
12019,1996,23661
12019,1997,24300
12019,1998,25611
12019,1999,26006
12019,2000,27731
12019,2001,28772
12019,2002,29004
12019,2003,30367
12019,2004,31126
12019,2005,32754
12019,2006,33910
12019,2007,34651
12019,2008,34715
12019,2009,33318
12019,2010,33593
12019,2011,34870
12019,2012,35773
12019,2013,35987
12021,1986,20242
12021,1987,22233
12021,1988,25602
12021,1989,27266
12021,1990,27233
12021,1991,27743
12021,1992,30040
12021,1993,31638
12021,1994,33090
12021,1995,33579
12021,1996,34654
12021,1997,36683
12021,1998,38388
12021,1999,39387
12021,2000,41080
12021,2001,43501
12021,2002,43439
12021,2003,44993
12021,2004,51149
12021,2005,55427
12021,2006,61875
12021,2007,64121
12021,2008,63809
12021,2009,54854
12021,2010,56499
12021,2011,59988
12021,2012,65042
12021,2013,64872
12023,1986,11317
12023,1987,11754
