State,ID Code
Alabama  ,01000000000000
Alaska ,02000000000000
Arizona ,03000000000000
Arkansas ,04000000000000
California ,05000000000000
Colorado ,06000000000000
Connecticut ,07000000000000
Delaware ,08000000000000
Florida ,10000000000000
Georgia ,11000000000000
Hawaii ,12000000000000
Idaho ,13000000000000
Illinois ,14000000000000
Indiana ,15000000000000
Iowa ,16000000000000
Kansas ,17000000000000
Kentucky ,18000000000000
Louisiana ,19000000000000
Maine ,20000000000000
Maryland ,21000000000000
Massachusetts ,22000000000000
Michigan ,23000000000000
Minnesota ,24000000000000
Mississippi ,25000000000000
Missouri ,26000000000000
Montana ,27000000000000
Nebraska ,28000000000000
Nevada ,29000000000000
New Hampshire ,30000000000000
New Jersey ,31000000000000
New Mexico ,32000000000000
New York ,33000000000000
North Carolina ,34000000000000
North Dakota ,35000000000000
Ohio ,36000000000000
Oklahoma ,37000000000000
Oregon ,38000000000000
Pennsylvania ,39000000000000
Rhode Island ,40000000000000
South Carolina ,41000000000000
South Dakota ,42000000000000
Tennessee ,43000000000000
Texas ,44000000000000
Utah ,45000000000000
Vermont ,46000000000000
Virginia ,47000000000000
Washington ,48000000000000
West Virginia ,49000000000000
Wisconsin ,50000000000000
Wyoming ,51000000000000
