cid,cty,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
12001,"Alachua, FL",13391,14185,15256,16644,17476,17810,18359,19093,19888,20732,21360,22233,23325,23942,25161,26155,26612,27321,30481,32406,34052,35269,36183,34613,35924,37588,37607,38225
12003,"Baker, FL",10909,11564,12371,12896,13603,13650,14171,14708,15340,15895,16518,17312,18299,19487,20067,20999,21399,22737,24018,24839,25686,26498,26380,25234,25639,26224,26472,26670
12005,"Bay, FL",13441,13690,14535,15522,16630,17511,18247,19034,19415,20694,21385,22218,23332,23990,24972,26642,27598,29195,31014,33073,34736,36405,37175,35942,37214,38366,37843,37915
12007,"Bradford, FL",9749,10113,10911,11642,12185,12332,13298,13885,14411,15367,16560,17664,19016,18417,19573,20804,21203,21999,23419,24622,25672,26846,27717,27919,29052,30400,31763,32151
12009,"Brevard, FL",15456,16178,17274,18769,19069,19452,20290,20676,21171,21981,22739,24102,25172,25965,28307,29165,29684,30924,32644,34265,36413,37623,38046,36981,37431,39275,39223,39420
12011,"Broward, FL",18741,19731,20856,22830,23521,23300,23994,24844,25342,26541,27425,27738,29341,29924,31478,32877,33804,34618,36599,39641,41934,43669,43195,40556,41411,42433,43161,43792
12013,"Calhoun, FL",8586,9210,10323,10312,11482,11702,12347,12849,13302,14111,14265,15063,15512,16664,16561,18233,18101,18575,19082,20330,20835,21392,22004,21170,22439,22854,23043,23484
12015,"Charlotte, FL",14826,15403,16567,18451,18327,18129,18831,19432,20407,21336,22408,23702,24951,25605,27189,27355,26568,27004,30323,32372,35047,36187,35833,33969,34369,36577,36911,37588
12017,"Citrus, FL",12457,13032,13904,15164,15392,15783,16371,17037,17837,18092,18829,20039,20980,22027,23408,23988,24292,25053,26249,28208,29786,31081,31591,31047,31936,33393,33935,34380
12019,"Clay, FL",15707,16386,17231,18090,19227,19480,20034,20815,21576,22572,23661,24300,25611,26006,27731,28772,29004,30367,31126,32754,33910,34651,34715,33318,33593,34870,35773,35987
12021,"Collier, FL",20242,22233,25602,27266,27233,27743,30040,31638,33090,33579,34654,36683,38388,39387,41080,43501,43439,44993,51149,55427,61875,64121,63809,54854,56499,59988,65042,64872
12023,"Columbia, FL",11317,11754,12687,13481,13962,14328,15117,15688,15938,16784,17585,18219,18913,19120,19683,21514,21101,21704,23433,24730,25029,26606,27246,26735,28132,29789,28623,29315
12027,"DeSoto, FL",11124,12104,14022,14863,15055,16348,15941,16221,16494,16406,16569,16878,18247,17697,17491,18179,17611,17497,19730,20746,22207,22642,22876,22444,24103,25500,23413,24664
12029,"Dixie, FL",9050,9599,10419,11299,11548,11160,11738,12760,13191,13660,14133,14284,14944,15254,16017,17517,17321,17381,18738,19843,20139,20448,20520,20176,20824,21649,22462,23333
12031,"Duval, FL",15610,16421,17209,18813,19597,19776,20375,21389,22286,23620,24471,25285,27027,27792,30051,30298,31256,32823,34331,36666,39437,40002,39907,37877,38720,39944,42111,42423
12033,"Escambia, FL",13565,14029,15076,16013,16820,17270,17920,18440,18882,19823,20893,21494,22423,23279,24595,25838,26556,27814,29561,30822,33138,34773,35333,34807,35522,37162,37967,38389
12035,"Flagler, FL",14610,15497,16266,16253,16052,16264,17788,18928,20153,20860,21616,22662,23707,24599,25093,25073,25044,26092,27665,29521,31294,32130,32558,31614,32837,34962,36482,36753
12037,"Franklin, FL",10671,10934,11504,12601,13628,13725,14608,14946,15844,16995,16760,17180,17569,18428,21958,24315,23387,24003,26067,28754,28187,29186,28634,27051,28142,28961,29444,30301
12039,"Gadsden, FL",9281,9927,10941,12181,12665,13009,13974,14516,15076,16199,16566,17497,18510,19276,20259,21204,22236,23226,24752,26274,27449,27715,28114,27425,27233,28743,27762,28290
12041,"Gilchrist, FL",10532,10734,11217,11908,12315,12776,14311,14466,14808,15481,16309,17415,18754,20140,20675,23594,23755,24094,26459,27259,28604,29387,29677,29229,30675,31727,33029,33491
