symbol,date,price
Child 0-14,1970,1755440
Child 0-14,1971,1786410
Child 0-14,1972,1820318
Child 0-14,1973,1864682
Child 0-14,1974,1902690
Child 0-14,1975,1899607
Child 0-14,1976,1862190
Child 0-14,1977,1840392
Child 0-14,1978,1830790
Child 0-14,1979,1847449
Child 0-14,1980,1888809
Child 0-14,1981,1937566
Child 0-14,1982,1976253
Child 0-14,1983,2018810
Child 0-14,1984,2059963
Child 0-14,1985,2106373
Child 0-14,1986,2150271
Child 0-14,1987,2210537
Child 0-14,1988,2278503
Child 0-14,1989,2358048
Child 0-14,1990,2462130
Child 0-14,1991,2581902
Child 0-14,1992,2632689
Child 0-14,1993,2709566
Child 0-14,1994,2770823
Child 0-14,1995,2812537
Child 0-14,1996,2852168
Child 0-14,1997,2892989
Child 0-14,1998,2933556
Child 0-14,1999,2991191
Child 0-14,2000,3049439
Child 0-14,2001,3102404
Child 0-14,2002,3105516
Child 0-14,2003,3191519
Child 0-14,2004,3284877
Child 0-14,2005,3345861
Child 0-14,2006,3390709
Child 0-14,2007,3422531
Child 0-14,2008,3442376
Child 0-14,2009,3438456
Child 0-14,2010,3261716
Child 0-14,2011,3274059
Child 0-14,2012,3303959
Child 0-14,2013,3344701
Child 0-14,2014,3377471
Child 0-14,2015,3413825
Child 0-14,2016,3446355
Child 0-14,2017,3478648
Child 0-14,2018,3509964
Child 0-14,2019,3540044
Child 0-14,2020,3571294
Middle 25-64,1970,2998976
Middle 25-64,1971,3126972
Middle 25-64,1972,3310377
Middle 25-64,1973,3517175
Middle 25-64,1974,3716287
Middle 25-64,1975,3823656
Middle 25-64,1976,3924614
Middle 25-64,1977,4042602
Middle 25-64,1978,4185764
Middle 25-64,1979,4386349
Middle 25-64,1980,4616018
Middle 25-64,1981,4825247
Middle 25-64,1982,5004832
Middle 25-64,1983,5182006
Middle 25-64,1984,5368175
Middle 25-64,1985,5559296
Middle 25-64,1986,5752261
Middle 25-64,1987,5945283
Middle 25-64,1988,6128512
Middle 25-64,1989,6313367
Middle 25-64,1990,6513616
Middle 25-64,1991,6655163
Middle 25-64,1992,6780819
Middle 25-64,1993,6889789
Middle 25-64,1994,7065861
Middle 25-64,1995,7240316
Middle 25-64,1996,7418211
Middle 25-64,1997,7609326
Middle 25-64,1998,7792464
Middle 25-64,1999,8020419
Middle 25-64,2000,8245186
Middle 25-64,2001,8390715
Middle 25-64,2002,8587839
Middle 25-64,2003,8757388
Middle 25-64,2004,8974162
Middle 25-64,2005,9193707
Middle 25-64,2006,9384962
Middle 25-64,2007,9529217
Middle 25-64,2008,9580369
Middle 25-64,2009,9620783
Middle 25-64,2010,9806919
Middle 25-64,2011,9842031
Middle 25-64,2012,9860539
Middle 25-64,2013,9978529
Middle 25-64,2014,10071552
Middle 25-64,2015,10179817
Middle 25-64,2016,10290617
Middle 25-64,2017,10401757
Middle 25-64,2018,10510463
Middle 25-64,2019,10616385
Middle 25-64,2020,10712771
Retired 65+,1970,1003422
Retired 65+,1971,1072682
Retired 65+,1972,1144919
