symbol,date,price
Dispositions,1986,2249934
Dispositions,1987,2188025
Dispositions,1988,2157597
Dispositions,1989,2203009
Dispositions,1990,2247917
Dispositions,1991,2404927
Dispositions,1992,2298266
Dispositions,1993,2165287
Dispositions,1994,2191485
Dispositions,1995,2362558
Dispositions,1996,2504937
Dispositions,1997,2630980
Dispositions,1998,2797758
Dispositions,1999,2710718
Dispositions,2000,2692210
Dispositions,2001,2814133
Dispositions,2002,3009182
Dispositions,2003,3339881
Dispositions,2004,3452900
Dispositions,2005,3516345
Dispositions,2006,3642784
Dispositions,2007,3584118
Dispositions,2008,4129137
Dispositions,2009,4614789
Dispositions,2010,4449999
Dispositions,2011,4034673
Dispositions,2012,3852462
Dispositions,2013,3903126
Filings,1986,2424185
Filings,1987,2314512
Filings,1988,2432401
Filings,1989,2613909
Filings,1990,2736389
Filings,1991,2686745
Filings,1992,2528101
Filings,1993,2405293
Filings,1994,2448433
Filings,1995,2481738
Filings,1996,2568093
Filings,1997,2632526
Filings,1998,2697100
Filings,1999,2691844
Filings,2000,2753931
Filings,2001,3061002
Filings,2002,3371400
Filings,2003,3589307
Filings,2004,3577269
Filings,2005,3753513
Filings,2006,4010039
Filings,2007,4271067
Filings,2008,4684808
Filings,2009,4497144
Filings,2010,4011818
Filings,2011,3943463
Filings,2012,4087641
Filings,2013,3737429
